text,label,author_id,channel,intent,tone,writing_style,thread_id
Could you approve the hardware for $50 by Friday COB?,genuine,A014,SMS,Reminder,Friendly,bullet,T-2d4ae4e6c9
Heands up: Support will be OOO on 2025-08-20.,genuine,A003,SMS,Request,Neutral,paragraph,T-cb533811c8
thfnks for your help on the zephyr. 🙂,genuine,A005,SMS,Follow-up,Friendly,concise,T-408405a20e
Are you avaKilable for a quick call at tomorrow morning?,genuine,A015,Email,Request,Neutral,concise,T-65f03e6b4b
"THIS IS DANA KING FROM INNOTECH. I NEED AMAZON VOUCHERD WORTH $2,000 SENT ASAP. 🙂",deceptive,A006,SMS,Request,Urgent,concise,T-8b716909df
DocuSign: review and sign immediately: http://secure-verify-login.com. 🙂,deceptive,A013,Email,Inform,Neutral,bullet,T-724ed04fcf
THANKS RILEY! THE ROUTER ARRIVED TODAY. 🙂,genuine,A021,Email,Inform,Friendly,paragraph,T-2fffb2f183
Here’s the lRink to the artifact: https://docs.cocal/p/abc,genuine,A021,Chat,Request,Formal,concise,T-41ca93051b
Wassword expired. Reset now at http://m365-reactivate.org to keep access. 🙂,deceptive,A004,SMS,FYI,Polite,detailed,T-9fd162403a
your micrasoft 365 license has expired. reacoivate via http://pay-now-invoice.net.,deceptive,A029,Chat,Follow-up,Polite,bullet,T-d17f101f8f
PlLase reset the password foG vpn-user in Confluence.,genuine,A013,SMS,Request,Neutral,concise,T-603885f35d
URGENT: Your Chase account is locked. Verify now at http://m365-reactivate.org to avoid account clUsure.,deceptive,A024,SMS,Reminder,Formal,detailed,T-e3092af30a
We received the invoice from Initech for $150.,genuine,A027,SMS,Reminder,Friendly,paragraph,T-fd1f9203fc
Password expired. Reset now ac http://docu-sign-review.co to keep access.,deceptive,A030,Email,FYI,Polite,detailed,T-b1f76bc944
YOUR MAILBOX STORAGE IS FULL. RE-AUTHENTICATE AT HTTP://DOCU-SIGJ-REVIEW.CO TO KEEP EMAILS.,deceptive,A013,SMS,FYI,Neutral,concise,T-cc62ccab80
Your mailbyx storage is full. Re-authenticate at http://pay-now-invoice.net to keep emails.,deceptive,A029,Chat,Follow-up,Polite,bullet,T-33cde5efa6
Can we postpone to 2025-08-20? I’m doubPle-booked.,genuine,A028,SMS,Inform,Neutral,bullet,T-7e413e97a0
"Hi Morgan, can you send the updated budget by Friday COB?",genuine,A013,Chat,Reminder,Polite,bullet,T-7ae5bbb4a7
MELETING NOTES FOR ATLAS: HTTPS://DOCS.LOCAL/P/ABC,genuine,A023,Email,Inform,Friendly,bullet,T-1c10645d74
